genre,tag_id
folk,28
socal indie,29
punk,30
hardcore,31
d-beat,32
crustcore,33
neo-psicodelia brasileira,34
post-punk,35
industrial,36
psychedelic,37
noise,38
electropop,39
3,40
switzerland,41
sankt gallen,42
rap nortista,43
drum and bass,44
neurofunk,45
atmospheric drum and bass,46
dnb,47
atmospheric,48
soundtrack,49
hardstyle,50
electronic,51
indie,52
math rock,53
progressive,54
rap calme,55
rock,56
opm,57
filipino,58
pinoy,59
synth funk,60
hip-hop,61
brasil,62
brazilian bass,63
botswana pop,64
grungegaze,65
french indie pop,66
lounge,67
thrash metal,68
metal,69
jazz,70
horror punk,71
deathrock,72
punk rock,73
soul,74
r&b,75
honky tonk,76
country,77
melodic trance,78
outlaw country,79
alcohol,80
brazilian dnb,81
liquid funk,82
korean,83
k-rock,84
alternative,85
hardcore punk,86
swedish punk,87
french post-rock,88
instrumental post-rock,89
italo disco,90
disco,91
female vocalists,92
celtic,93
midwest,94
alternative hip hop,95
classic rock,96
70s,97
alternative rock,98
acoustic,99
netherlands,100
florida drill,101
house,102
france,103
turkish rock,104
baris manco little darling,105
black metal,106
death metal,107
jungle,108
remix,109
beats,110
bedroompop pop,111
chanson francaise,112
contemporary folk,113
folk rock,114
alt country,115
singer songwriter,116
reggaeton,117
merengue,118
latin,119
romanian,120
bahia,121
usa,122
american,123
female rapper,124
orchestral,125
classical,126
baroque,127
instrumental,128
indie pop,129
austrian,130
female singers,131
britpop revival,132
skate punk,133
melodic hardcore,134
korean hip-hop,135
hard alternative,136
electro,137
homemade,138
try,139
rap fr,140
trap metal,141
tropical house,142
norwegian,143
hard rock,1
aor,2
under 2000 listeners,3
melodic metal,4
melodic hard rock,5
UNKNOWN,6
seen live,7
northern irish indie,8
korean instrumental,9
italian contemporary classical,10
ambient,11
experimental,12
drone,13
dark ambient,14
pop,15
80's,16
melodic rock,17
80er,18
neo-classical,19
french,20
rap,21
french rap,22
brazil,23
kurdish,24
kurtce,25
kurde,26
kurdish pop,27
folk,28
socal indie,29
punk,30
hardcore,31
d-beat,32
crustcore,33
neo-psicodelia brasileira,34
post-punk,35
industrial,36
psychedelic,37
noise,38
electropop,39
3,40
electronic pop,41
switzerland,42
sankt gallen,43
rap nortista,44
drum and bass,45
neurofunk,46
atmospheric drum and bass,47
dnb,48
atmospheric,49
soundtrack,50
hardstyle,51
electronic,52
indie,53
math rock,54
progressive,55
rap calme,56
rock,57
opm,58
filipino,59
pinoy,60
synth funk,61
hip-hop,62
brasil,63
brazilian bass,64
botswana pop,65
grungegaze,66
french indie pop,67
lounge,68
thrash metal,69
metal,70
jazz,71
horror punk,72
deathrock,73
punk rock,74
soul,75
r&b,76
honky tonk,77
country,78
melodic trance,79
outlaw country,80
alcohol,81
brazilian dnb,82
liquid funk,83
korean,84
k-rock,85
alternative r&b,86
hardcore punk,87
swedish punk,88
french post-rock,89
instrumental post-rock,90
italo disco,91
disco,92
french male vocalists,93
celtic,94
midwest,95
alternative hip hop,96
classic rock,97
70s,98
alternative rock,99
acoustic,100
netherlands,101
florida drill,102
house,103
france,104
turkish rock,105
baris manco little darling,106
black metal,107
death metal,108
jungle,109
remix,110
hihop,111
beats,112
bedroompop pop,113
chanson francaise,114
contemporary folk,115
folk rock,116
alt country,117
irish singer-songwriter,118
reggaeton,119
merengue,120
latin,121
romanian,122
bahia,123
usa,124
american,125
female rapper,126
orchestral,127
classical,128
baroque,129
instrumental,130
indie pop,131
austrian,132
female singers,133
australia,134
britpop revival,135
skate punk,136
melodic hardcore,137
korean hip-hop,138
hard alternative,139
electro,140
homemade,141
try,142
rap fr,143
trap metal,144
tropical house,145
norwegian,146
indie rock,147
piano,148
doom metal,149
sludge,150
doom,151
sludge metal,152
lo-fi brasileiro,153
trance,154
danish,155
denmark,156
uk,157
paris,158
slap house,159
emo,160
electronic djent,161
pop quebecois,162
kiwi rock,163
musica cristiana,164
french pop,165
the best,166
grime,167
haitian dance,168
tsm,169
polski rap,170
omen,171
motyw,172
italy,173
french hip hop,174
pop urbaine,175
rap lyonnais,176
comedie musicale,177
multiple artists,178
deezer,179
christian,180
gospel,181
worship,182
swiss,183
french stoner rock,184
drill,185
chicago,186
gbe,187
3miasto,188
grunge,189
polish,190
brutal death metal,191
gay,192
shitcore,193
gaycore,194
south african,195
africa,196
chillout,197
swedish hardcore,198
depressive metal,199
canada,200
ambient fusion,201
underground,202
podziemie,203
lublin,204
ritual,205
old school death metal,206
modern dream pop,207
c-pop,208
hong kong,209
asian,210
rnb,211
spanish,212
musica goiana,213
swedish,214
romantic,215
synthpop,216
danish modern jazz,217
jazz pop,218
rap belge,219
new beat,220
belgisch,221
acid house,222
techno,223
nantes indie,224
drill francais,225
rap francais,226
rap francais nouvelle vague,227
trap beats,228
reggae,229
downtempo,230
acid,231
greek,232
sephardic,233
ladino,234
funk,235
modern indie pop,236
cosmopolitan,237
krautrock,238
the bedford,239
shoegaze,240
dream pop,241
alternative,242
finnish,243
suomi,244
dance,245
eurodance,246
90s,247
german,248
congo,249
luxembourg,250
indie quebecois,251
french indietronica,252
rap liegeois,253
shatta,254
surf punk,255
hip-hop experimental,256
atmospheric black metal,257
canadian black metal,258
hyperpop francais,259
acid jazz,260
la pop,261
happy hardcore,262
horrorcore,263
edm,264
hyperpop,265
ravecore,266
electro swing,267
nu jazz,268
rap marseille,269
drum n bass,270
lofi,271
columbus ohio indie,272
easy listening,273
cinematic,274
trip hop,275
psychill,276
acid techno,277
discoverunsigned,278
baton rouge indie,279
lafayette indie,280
metropopolis,281
shimmer pop,282
female jazz vocalist,283
eurovision,284
avantgarde,285
deep talent show,286
malagasy pop,287
new wave,288
belgian,289
coldwave,290
male vocalist,291
australian indigenous music,292
power pop,293
pop rock,294
uk americana,295
soft rock,296
west coast,297
swiss hip hop,298
neo soul,299
heavy metal,300
new french touch,301
lo-fi,302
country: france,303
icelandic,304
chillwave,305
industrial techno,306
french reggae,307
commons,308
post-hardcore,309
british,310
forest,311
violin,312
colombia,313
bossa nova,314
brazilian,315
mpb,316
modern classical,317
solo piano,318
mundart,319
dutch house,320
electro house,321
progressive house,322
twee,323
60s,324
synthwave,325
10s,326
20s,327
retrowave,328
industrial rock,329
industrial metal,330
4,331
basshall,332
australian alt-country,333
